Txn Hash,Method,Block,Age,From,Action,To,Value,Fee,Date
0xd7f5a2533c45e9139679dd2d690ff3329877f938e3f7b9842428c52da1c0f627,Set Approval For...,22204428,685 days 4 hrs ago,0x0b83f617ad1b093e071248930366ca447aa81971,OUT,Aavegotchi: Gotchiverse REALM Diamond,0 MATIC,0.00163635,2021-12-06 11:49:15.633990
0x488c0a0f91e91cd4d6e85c8909f8ca66813dc3c404f745979add98efa9aed224,Swap Exact Token...,22204301,685 days 4 hrs ago,0x0b83f617ad1b093e071248930366ca447aa81971,OUT,SushiSwap: Router,0 MATIC,0.00320295,2021-12-06 11:49:15.633990
0x0ec1d502b1a63e966848558eec7f8a059a0fe432e486bfd3a26cfa9afbe1b681,Wrap,22204292,685 days 4 hrs ago,0x0b83f617ad1b093e071248930366ca447aa81971,OUT,0x6f370dba99e32a3cad959b341120db3c9e280ba6,0 MATIC,0.0024636,2021-12-06 11:49:15.633990
0xad38b2594f7e129566ef7ea47005225d88af478c3e78d6a99365bed7fac789bd,Unstake,22204261,685 days 4 hrs ago,0x0b83f617ad1b093e071248930366ca447aa81971,OUT,0x25d28a24ceb6f81015bb0b2007d795acac411b4d,0 MATIC,0.00266649,2021-12-06 11:49:15.633990
0x80dbb48bdf6e6b20969f2bf0ed877841c4db7be5cd43855a6315b5554fe9c3bb,Approve,22204220,685 days 4 hrs ago,0x0b83f617ad1b093e071248930366ca447aa81971,OUT,0xb0c22d8d350c67420f06f48936654f567c73e8c8,0 MATIC,0.00138264,2021-12-06 11:49:15.633990
0x0dde02e1949fb218949920548be09a7455e5e34e706463c39fbbb3c9ace6f201,Redeem Underlyin...,22204138,685 days 4 hrs ago,0x0b83f617ad1b093e071248930366ca447aa81971,OUT,0x535e3f59afb1de1a5694d5840224f964d53f7688,0 MATIC,0.01422414,2021-12-06 11:49:15.633990
0xa80b18efeba482bed3104e13f0952f47bd7caa871fb4bb81485f6c1c14b44f22,Swap Exact Token...,22199871,685 days 7 hrs ago,0x0b83f617ad1b093e071248930366ca447aa81971,OUT,SushiSwap: Router,0 MATIC,0.00307689,2021-12-06 08:49:15.633990
0xf937db9f3daaf3afbf500d78f61afa566275af43f90f3d1ce291de01ff4e51b7,Repay Borrow,22199797,685 days 7 hrs ago,0x0b83f617ad1b093e071248930366ca447aa81971,OUT,0xdc546c7cdebcef7c2123500328feee15f67f330e,0 MATIC,0.00448966,2021-12-06 08:49:15.633990
0xfcb935bc4d12525de00b49cf3b42dc79d7ffdd2b8ffca8dff24a0276e538ca37,Swap Exact Token...,22199783,685 days 7 hrs ago,0x0b83f617ad1b093e071248930366ca447aa81971,OUT,SushiSwap: Router,0 MATIC,0.00858396,2021-12-06 08:49:15.633990
0x76c4576b9d3d7741274b095a6e0d3020312cb3518633e5a1ec77a341d09703d0,Unstake,22199760,685 days 7 hrs ago,0x0b83f617ad1b093e071248930366ca447aa81971,OUT,0x25d28a24ceb6f81015bb0b2007d795acac411b4d,0 MATIC,0.00354957,2021-12-06 08:49:15.633990
